Name,Latitude,Longitude
Sheppard Avenue East & Victoria Park Avenue,43.7752313,-79.32308
Finch Avenue East & Warden Avenue,43.796921,-79.31601
Lawrence Avenue East & Scarborough Golf Club Road,43.7617873,-79.2158447
Morningside Ave and 401 C W Morningside Ave N Ramp,43.795013,-79.196701
Eglinton Avenue East & Markham Road,43.7432166,-79.2188536
Saint Clair Avenue East & Danforth Road,43.716927,-79.2598481
Steeles Avenue East & Markham Road,43.8365516,-79.2512397
Bellamy Road North & Brimorton Drive,43.7674716,-79.2391396
Lawrence Avenue East & Warden Avenue,43.745391,-79.2947615
Markham Road & McNicoll Avenue,43.8239764,-79.2479358
McCowan Road & Brimorton Drive,43.7654283,-79.2489538
Warden Avenue & Ellesmere Road,43.7612888,-79.3006507
Brimley Road & Progress Avenue,43.7752046,-79.2632162
Finch Avenue East & Markham Road,43.8129244,-79.2431453
Brimley Road & Huntingwood Drive,43.7984197,-79.2733671
